,close,high,low,trade_count,open,volume,vwap,timestamp,unixTime
137,9.93,10.4,9.68,46511,10.19,9867314,9.918053,2018-08-06 04:00:00+00:00,1533556800.0
138,9.15,10.01,8.77,91628,9.89,25088691,9.199776,2018-08-13 04:00:00+00:00,1534161600.0
139,9.68,9.75,9.1,50359,9.18,13084843,9.389892,2018-08-20 04:00:00+00:00,1534766400.0
140,9.31,9.97,9.17,71564,9.74,17011001,9.54693,2018-08-27 04:00:00+00:00,1535371200.0
141,8.88,9.26,8.25,57986,9.24,14697253,8.842933,2018-09-03 04:00:00+00:00,1535976000.0
142,8.86,9.52,8.8,83075,9.1,21847799,9.084365,2018-09-10 04:00:00+00:00,1536580800.0
143,9.35,9.42,8.69,66497,8.9,19516658,9.115142,2018-09-17 04:00:00+00:00,1537185600.0
144,10.03,10.15,9.2,70681,9.5,17018939,9.662181,2018-09-24 04:00:00+00:00,1537790400.0
145,10.09,10.6462,10.02,77473,10.27,18607455,10.302072,2018-10-01 04:00:00+00:00,1538395200.0
146,8.76,10.07,8.605,79452,9.95,19411493,9.331673,2018-10-08 04:00:00+00:00,1539000000.0
147,8.5,8.85,8.395,71151,8.77,17072865,8.581279,2018-10-15 04:00:00+00:00,1539604800.0
148,8.5,8.675,8.235,92996,8.55,23411679,8.481342,2018-10-22 04:00:00+00:00,1540209600.0
149,8.75,8.97,8.06,122503,8.55,29321241,8.569777,2018-10-29 04:00:00+00:00,1540814400.0
150,8.94,9.28,8.58,75543,8.86,17882627,9.036742,2018-11-05 05:00:00+00:00,1541422800.0
151,8.11,9.07,7.99,94459,9.03,24783432,8.372676,2018-11-12 05:00:00+00:00,1542027600.0
152,7.12,8.375,7.11,72329,7.98,20981712,7.704617,2018-11-19 05:00:00+00:00,1542632400.0
153,7.38,7.49,6.89,102579,7.14,27806283,7.123518,2018-11-26 05:00:00+00:00,1543237200.0
154,7.64,8.425,7.575,108381,8.11,24265840,8.031761,2018-12-03 05:00:00+00:00,1543842000.0
155,7.67,8.19,7.315,93544,7.58,18536624,7.744906,2018-12-10 05:00:00+00:00,1544446800.0
156,6.63,7.8,6.585,92847,7.69,22991280,7.050983,2018-12-17 05:00:00+00:00,1545051600.0
157,6.87,7.07,6.15,56995,6.55,16106632,6.733233,2018-12-24 05:00:00+00:00,1545656400.0
158,7.69,7.715,6.75,57943,6.97,13033831,7.278096,2018-12-31 05:00:00+00:00,1546261200.0
159,8.1,8.23,7.66,70366,7.75,18089650,7.959248,2019-01-07 05:00:00+00:00,1546866000.0
160,8.14,8.26,7.745,65912,7.96,16248944,8.016268,2019-01-14 05:00:00+00:00,1547470800.0
161,7.79,7.91,7.49,68027,7.91,17869681,7.668599,2019-01-21 05:00:00+00:00,1548075600.0
162,7.7,8.16,7.595,87113,7.67,23785058,7.848351,2019-01-28 05:00:00+00:00,1548680400.0
163,7.49,7.91,7.39,79893,7.65,21974377,7.641993,2019-02-04 05:00:00+00:00,1549285200.0
164,8.69,8.7,7.23,115156,7.38,32756498,8.165397,2019-02-11 05:00:00+00:00,1549890000.0
165,8.89,8.9,8.61,58067,8.66,17181987,8.781676,2019-02-18 05:00:00+00:00,1550494800.0
166,9.14,9.32,8.79,67050,8.88,17947647,9.091783,2019-02-25 05:00:00+00:00,1551099600.0
167,8.21,9.14,7.955,99430,9.06,28467918,8.470698,2019-03-04 05:00:00+00:00,1551704400.0
168,8.77,8.9,8.28,75550,8.28,22514462,8.713226,2019-03-11 04:00:00+00:00,1552305600.0
169,8.75,9.27,8.735,62149,8.79,17299298,8.981148,2019-03-18 04:00:00+00:00,1552910400.0
170,8.68,8.81,8.44,69031,8.7,20028139,8.638012,2019-03-25 04:00:00+00:00,1553515200.0
171,9.39,9.39,8.81,81727,8.94,24636913,9.073251,2019-04-01 04:00:00+00:00,1554120000.0
172,9.9,10.18,9.4,91222,9.45,27434924,9.766555,2019-04-08 04:00:00+00:00,1554724800.0
173,10.09,10.19,9.76,58002,9.92,17702760,9.976992,2019-04-15 04:00:00+00:00,1555329600.0
174,10.01,10.6,9.82,148539,10.23,46177422,10.237621,2019-04-22 04:00:00+00:00,1555934400.0
175,9.02,10.09,8.92,98839,9.98,29535226,9.492078,2019-04-29 04:00:00+00:00,1556539200.0
176,9.05,9.1976,8.725,84801,8.85,22089013,8.956196,2019-05-06 04:00:00+00:00,1557144000.0
177,8.64,9.09,8.615,78743,8.94,22026994,8.844281,2019-05-13 04:00:00+00:00,1557748800.0
178,8.25,8.77,8.0579,67673,8.64,19529216,8.414795,2019-05-20 04:00:00+00:00,1558353600.0
179,8.19,8.475,8.04,61130,8.36,16854148,8.262747,2019-05-27 04:00:00+00:00,1558958400.0
180,8.22,8.48,7.67,99470,8.31,25743389,7.99766,2019-06-03 04:00:00+00:00,1559563200.0
181,8.47,8.5,8.11,68316,8.28,16415844,8.357234,2019-06-10 04:00:00+00:00,1560168000.0
182,8.81,9.06,8.39,86345,8.39,20993652,8.833144,2019-06-17 04:00:00+00:00,1560772800.0
183,8.82,9.16,8.66,64974,8.83,15916707,8.86137,2019-06-24 04:00:00+00:00,1561377600.0
184,8.95,9.14,8.655,39696,9.0,9005765,8.859226,2019-07-01 04:00:00+00:00,1561982400.0
185,9.57,9.57,8.84,69305,8.92,16395665,9.259937,2019-07-08 04:00:00+00:00,1562587200.0
186,9.51,9.63,9.09,90491,9.59,23066615,9.411595,2019-07-15 04:00:00+00:00,1563192000.0
187,9.21,9.76,9.03,88619,9.52,20963754,9.351278,2019-07-22 04:00:00+00:00,1563796800.0
188,8.83,9.46,8.72,74517,9.24,17208855,9.079424,2019-07-29 04:00:00+00:00,1564401600.0
189,8.54,8.66,8.125,65998,8.6,14060862,8.419557,2019-08-05 04:00:00+00:00,1565006400.0
190,8.17,8.86,8.06,73621,8.5,16073254,8.431181,2019-08-12 04:00:00+00:00,1565611200.0
191,8.3,8.71,8.135,74008,8.35,16975959,8.406772,2019-08-19 04:00:00+00:00,1566216000.0
192,8.73,8.985,8.27,62540,8.42,14824249,8.547352,2019-08-26 04:00:00+00:00,1566820800.0
193,9.11,9.16,8.41,56770,8.51,12717857,8.875443,2019-09-02 04:00:00+00:00,1567425600.0
194,9.35,9.63,9.06,93438,9.24,21113022,9.384043,2019-09-09 04:00:00+00:00,1568030400.0
195,9.96,10.82,9.855,137120,10.06,36083755,10.213802,2019-09-16 04:00:00+00:00,1568635200.0
196,9.61,9.995,9.55,64330,9.91,15305019,9.722247,2019-09-23 04:00:00+00:00,1569240000.0
197,8.53,9.68,8.48,86874,9.61,19827990,8.89501,2019-09-30 04:00:00+00:00,1569844800.0
198,8.58,8.765,8.005,97799,8.63,24347480,8.32795,2019-10-07 04:00:00+00:00,1570449600.0
199,8.59,8.75,8.37,68094,8.43,15203446,8.588794,2019-10-14 04:00:00+00:00,1571054400.0
200,8.77,9.03,8.485,71250,8.59,17781693,8.799312,2019-10-21 04:00:00+00:00,1571659200.0
201,8.72,8.97,8.29,89366,8.84,22135935,8.647326,2019-10-28 04:00:00+00:00,1572264000.0
202,9.17,9.34,8.78,75317,8.84,17029518,9.034688,2019-11-04 05:00:00+00:00,1572872400.0
203,9.27,9.5,9.02,51893,9.02,10629590,9.237533,2019-11-11 05:00:00+00:00,1573477200.0
204,8.97,9.24,8.78,52530,9.24,12410859,8.987782,2019-11-18 05:00:00+00:00,1574082000.0
205,8.89,9.17,8.85,39630,8.98,9699729,9.056338,2019-11-25 05:00:00+00:00,1574686800.0
206,9.29,9.3,8.52,85569,8.91,20238967,8.853044,2019-12-02 05:00:00+00:00,1575291600.0
207,9.67,9.845,9.16,62144,9.18,13258231,9.460993,2019-12-09 05:00:00+00:00,1575896400.0
208,9.86,9.98,9.68,52384,9.79,16503236,9.841319,2019-12-16 05:00:00+00:00,1576501200.0
209,10.06,10.24,9.87,25619,9.87,8334659,10.073204,2019-12-23 05:00:00+00:00,1577106000.0
210,10.19,10.52,9.96,43235,10.14,10880812,10.17346,2019-12-30 05:00:00+00:00,1577710800.0
211,9.88,10.49,9.835,61945,10.28,15852497,10.103637,2020-01-06 05:00:00+00:00,1578315600.0
212,9.26,9.82,9.26,69577,9.81,20153698,9.522725,2020-01-13 05:00:00+00:00,1578920400.0
213,8.75,9.33,8.7,52910,9.23,13963345,9.019318,2020-01-20 05:00:00+00:00,1579525200.0
214,8.71,9.07,8.46,91048,8.48,25380574,8.798988,2020-01-27 05:00:00+00:00,1580130000.0
215,8.93,9.33,8.595,80725,8.72,21166496,8.933999,2020-02-03 05:00:00+00:00,1580734800.0
216,8.91,9.39,8.515,103930,8.85,26611665,8.972455,2020-02-10 05:00:00+00:00,1581339600.0
217,9.04,9.265,8.73,56999,8.82,15043329,9.057371,2020-02-17 05:00:00+00:00,1581944400.0
218,7.37,8.66,6.99,133308,8.66,32437869,7.660508,2020-02-24 05:00:00+00:00,1582549200.0
219,5.89,7.56,5.82,157086,7.5,37225937,6.783289,2020-03-02 05:00:00+00:00,1583154000.0
220,3.0,4.0,2.48,262307,3.97,103067595,2.943801,2020-03-09 04:00:00+00:00,1583755200.0
221,1.66,2.63,1.41,195056,2.62,58871367,1.860523,2020-03-16 04:00:00+00:00,1584360000.0
222,1.69,2.2,1.56,148360,1.71,50955960,1.854613,2020-03-23 04:00:00+00:00,1584964800.0
223,2.43,2.69,1.57,190872,1.69,80501755,2.095869,2020-03-30 04:00:00+00:00,1585569600.0
224,2.76,3.14,2.41,200079,2.5,69098868,2.811499,2020-04-06 04:00:00+00:00,1586174400.0
225,2.73,2.95,2.39,135996,2.92,43415814,2.602927,2020-04-13 04:00:00+00:00,1586779200.0
226,3.05,3.39,2.48,145983,2.49,57082290,2.849005,2020-04-20 04:00:00+00:00,1587384000.0
227,3.34,3.76,2.78,138545,2.94,47901529,3.333587,2020-04-27 04:00:00+00:00,1587988800.0
228,3.86,3.945,3.18,119440,3.23,51534162,3.645077,2020-05-04 04:00:00+00:00,1588593600.0
229,3.71,3.89,3.18,81333,3.82,36462182,3.641653,2020-05-11 04:00:00+00:00,1589198400.0
230,4.25,4.47,3.9,95515,3.91,37070782,4.207106,2020-05-18 04:00:00+00:00,1589803200.0
231,4.33,4.52,4.2,59162,4.41,23392961,4.366248,2020-05-25 04:00:00+00:00,1590408000.0
232,5.24,5.315,4.21,88426,4.3,37828633,4.877018,2020-06-01 04:00:00+00:00,1591012800.0
233,4.58,5.83,4.455,137682,5.57,50559285,5.168471,2020-06-08 04:00:00+00:00,1591617600.0
234,4.53,5.09,4.25,93200,4.25,42222628,4.628175,2020-06-15 04:00:00+00:00,1592222400.0
235,4.45,4.81,4.36,76196,4.55,30900771,4.570937,2020-06-22 04:00:00+00:00,1592827200.0
236,4.74,4.83,4.4,59663,4.47,21570995,4.650361,2020-06-29 04:00:00+00:00,1593432000.0
237,4.42,4.89,4.24,60321,4.86,26585341,4.475808,2020-07-06 04:00:00+00:00,1594036800.0
238,4.46,4.75,4.135,72056,4.42,29332408,4.474657,2020-07-13 04:00:00+00:00,1594641600.0
239,5.01,5.09,4.33,86366,4.45,33689835,4.854928,2020-07-20 04:00:00+00:00,1595246400.0
240,4.46,5.0783,4.43,79089,5.03,27771635,4.727782,2020-07-27 04:00:00+00:00,1595851200.0
241,4.87,5.08,4.4377,82842,4.5,26060129,4.824569,2020-08-03 04:00:00+00:00,1596456000.0
242,5.15,5.34,4.9,69856,4.94,22744743,5.140171,2020-08-10 04:00:00+00:00,1597060800.0
243,4.68,5.27,4.615,53595,5.15,17619043,4.924342,2020-08-17 04:00:00+00:00,1597665600.0
244,4.91,5.04,4.68,41740,4.76,15412672,4.844082,2020-08-24 04:00:00+00:00,1598270400.0
245,4.65,4.9,4.6001,52240,4.89,18277225,4.719676,2020-08-31 04:00:00+00:00,1598875200.0
246,4.11,4.52,4.0103,58755,4.5,22022149,4.209688,2020-09-07 04:00:00+00:00,1599480000.0
247,4.23,4.45,3.95,77662,4.13,23108089,4.200598,2020-09-14 04:00:00+00:00,1600084800.0
248,3.89,4.13,3.73,54979,4.12,24810877,3.936618,2020-09-21 04:00:00+00:00,1600689600.0
249,3.63,4.15,3.43,110788,3.99,41258611,3.850445,2020-09-28 04:00:00+00:00,1601294400.0
250,4.05,4.21,3.6,70859,3.72,28930651,3.880144,2020-10-05 04:00:00+00:00,1601899200.0
251,3.65,4.1,3.63,47385,4.04,18354338,3.867609,2020-10-12 04:00:00+00:00,1602504000.0
252,3.71,3.82,3.54,52027,3.69,23023224,3.691239,2020-10-19 04:00:00+00:00,1603108800.0
253,3.28,3.71,3.15,190266,3.36,110238278,3.401753,2020-10-26 04:00:00+00:00,1603713600.0
254,3.58,3.75,3.25,92367,3.34,46477296,3.555176,2020-11-02 05:00:00+00:00,1604322000.0
255,4.28,4.47,4.01,94027,4.02,50518401,4.28393,2020-11-09 05:00:00+00:00,1604926800.0
256,4.71,4.915,4.42,69522,4.55,32129708,4.635008,2020-11-16 05:00:00+00:00,1605531600.0
