,close,high,low,trade_count,open,volume,vwap,timestamp,unixTime,week,month,year,month and week,quarter,max loss,max gain
69,9.46,9.97,9.18,90521,9.93,23949441,9.643886,2017-05-01 04:00:00+00:00,1493640000.0,1,5,2017,5-1,2,-5.866807610993672,8.24524312896407
70,9.6,9.96,9.415,59391,9.46,13949854,9.647437,2017-05-08 04:00:00+00:00,1494244800.0,2,5,2017,5-2,2,-8.854166666666682,5.468750000000004
71,9.68,9.94,9.11,80051,9.9,17692951,9.518043,2017-05-15 04:00:00+00:00,1494849600.0,3,5,2017,5-3,2,-8.057851239669416,6.61157024793389
72,9.38,9.75,9.16,64569,9.71,15688168,9.479714,2017-05-22 04:00:00+00:00,1495454400.0,4,5,2017,5-4,2,-14.072494669509597,2.2388059701492438
73,8.58,9.37,8.43,73522,9.3,20543909,8.864624,2017-05-29 04:00:00+00:00,1496059200.0,5,5,2017,5-5,2,-18.181818181818176,2.564102564102572
74,8.25,8.65,7.81,112305,8.53,29755557,8.249173,2017-06-05 04:00:00+00:00,1496664000.0,1,6,2017,6-1,2,-10.18181818181819,10.909090909090924
75,7.91,8.71,7.81,115437,8.39,33154342,8.319327,2017-06-12 04:00:00+00:00,1497268800.0,2,6,2017,6-2,2,-24.652338811630862,3.413400758533508
76,6.9,8.08,6.76,113818,7.96,42599767,7.072018,2017-06-19 04:00:00+00:00,1497873600.0,3,6,2017,6-3,2,-17.68115942028985,11.739130434782616
77,7.37,7.57,6.86,83256,6.98,24984392,7.270644,2017-06-26 04:00:00+00:00,1498478400.0,4,6,2017,6-4,2,-9.09090909090909,10.854816824966077
78,7.0,7.66,6.9,66483,7.36,20417926,7.084907,2017-07-03 04:00:00+00:00,1499083200.0,1,7,2017,7-1,3,-10.857142857142854,7.428571428571422
79,7.32,7.42,6.9,64958,6.98,19012399,7.190563,2017-07-10 04:00:00+00:00,1499688000.0,2,7,2017,7-2,3,-1.5027322404371628,12.815573770491795
80,7.45,7.8381,7.31,78943,7.33,23212512,7.520626,2017-07-17 04:00:00+00:00,1500292800.0,3,7,2017,7-3,3,-5.61208053691275,20.805369127516776
81,8.51,8.86,7.42,139442,7.54,42079173,8.246573,2017-07-24 04:00:00+00:00,1500897600.0,4,7,2017,7-4,3,-11.163337250293765,13.866039952996474
82,8.32,8.6,7.91,111208,8.47,34531216,8.228642,2017-07-31 04:00:00+00:00,1501502400.0,5,7,2017,7-5,3,-8.293269230769225,7.091346153846152
83,8.01,8.5,7.91,77703,8.25,21271102,8.186331,2017-08-07 04:00:00+00:00,1502107200.0,1,8,2017,8-1,3,-13.920099875156058,1.7478152309613053
84,7.5,8.05,7.385,64514,7.98,19037940,7.626492,2017-08-14 04:00:00+00:00,1502712000.0,2,8,2017,8-2,3,-9.866666666666681,2.4666666666666734
85,7.44,7.57,7.31,44378,7.44,11722066,7.417045,2017-08-21 04:00:00+00:00,1503316800.0,3,8,2017,8-3,3,-3.8978494623655915,11.155913978494636
86,8.02,8.14,7.28,59759,7.46,17563761,7.640225,2017-08-28 04:00:00+00:00,1503921600.0,4,8,2017,8-4,3,-0.49875311720699406,15.087281795511224
87,8.12,8.49,8.1,65222,8.23,19529276,8.293767,2017-09-04 04:00:00+00:00,1504526400.0,1,9,2017,9-1,3,-4.248768472906412,13.854679802955665
88,9.04,9.225,8.145,87361,8.16,28247740,8.9062,2017-09-11 04:00:00+00:00,1505131200.0,2,9,2017,9-2,3,-2.5995575221238876,24.391592920353986
89,10.28,10.35,8.99,107838,9.05,36999823,9.79194,2017-09-18 04:00:00+00:00,1505736000.0,3,9,2017,9-3,3,-3.891050583657591,16.53696498054474
90,10.02,10.69,9.95,95675,10.65,26654401,10.236415,2017-09-25 04:00:00+00:00,1506340800.0,4,9,2017,9-4,3,-11.97604790419161,0.3992015968063965
91,9.61,9.99,9.49,63262,9.81,19767741,9.81352,2017-10-02 04:00:00+00:00,1506945600.0,1,10,2017,10-1,4,-5.411030176899059,3.746097814776269
92,9.72,9.85,9.47,56773,9.7,16272389,9.651282,2017-10-09 04:00:00+00:00,1507550400.0,2,10,2017,10-2,4,-2.0576131687242727,5.967078189300413
93,9.91,10.05,9.65,66491,9.78,17755811,9.87776,2017-10-16 04:00:00+00:00,1508155200.0,3,10,2017,10-3,4,-8.435923309788096,3.531786074672045
94,9.66,10.0,9.214,70635,10.0,19623187,9.541405,2017-10-23 04:00:00+00:00,1508760000.0,4,10,2017,10-4,4,-4.865424430641829,14.968944099378877
95,10.66,10.66,9.53,90392,9.68,26147096,10.16664,2017-10-30 04:00:00+00:00,1509364800.0,5,10,2017,10-5,4,0.5628517823639821,18.667917448405255
96,11.26,11.52,10.72,103563,10.75,30119997,11.266231,2017-11-06 05:00:00+00:00,1509973200.0,1,11,2017,11-1,4,-13.854351687388977,4.3516873889875685
97,10.16,11.21,9.96,77227,11.19,17429642,10.43079,2017-11-13 05:00:00+00:00,1510578000.0,2,11,2017,11-2,4,-16.033464566929148,1.407480314960619
98,9.77,10.103,9.581,55073,10.1,12910206,9.753921,2017-11-20 05:00:00+00:00,1511182800.0,3,11,2017,11-3,4,-10.36847492323439,5.875127942681678
99,10.12,10.155,9.09,82222,9.65,20852953,9.529837,2017-11-27 05:00:00+00:00,1511787600.0,4,11,2017,11-4,4,-9.239130434782597,10.770750988142291
100,9.44,10.18,9.22,53306,10.04,12712518,9.615675,2017-12-04 05:00:00+00:00,1512392400.0,1,12,2017,12-1,4,-18.53813559322034,4.131355932203378
101,8.44,9.61,8.43,94135,9.47,28798172,9.001333,2017-12-11 05:00:00+00:00,1512997200.0,2,12,2017,12-2,4,-14.218009478672977,5.331753554502383
102,8.78,8.88,8.41,59391,8.43,15131001,8.65556,2017-12-18 05:00:00+00:00,1513602000.0,3,12,2017,12-3,4,-2.050113895216418,10.135535307517074
103,9.13,9.2999,8.7,45634,8.78,13721859,9.029685,2017-12-25 05:00:00+00:00,1514206800.0,4,12,2017,12-4,4,-1.0941949616648396,19.05805038335159
